Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Temperature (C)_1,Temperature (C)_2,Temperature (C)_3,Temperature (C)_4
1,10.011934482213304,2016-09-30 21:02:09,9.952715809117397,1,1,0.0,4.151363849639893,1.864e-12,0.0,7.737e-12,0.0,0.0,0.0,0,0,0,35.599117279052734,35.61311721801758,35.50040054321289,35.44331359863281
2,20.027055055780107,2016-09-30 21:02:19,19.9678363826842,1,1,0.0,4.151363849639893,1.864e-12,0.0,7.737e-12,0.0,0.0,0.0,0,0,0,35.599117279052734,35.61311721801758,35.50040054321289,35.44331359863281
3,30.04214299087178,2016-09-30 21:02:29,29.982924317775872,1,1,0.0,4.151363849639893,1.864e-12,0.0,7.737e-12,0.0,0.0,0.0,0,0,0,35.599117279052734,35.61311721801758,35.57575988769531,35.368011474609375
4,40.0572846834519,2016-09-30 21:02:39,39.99806601035599,1,1,0.0,4.151363849639893,1.864e-12,0.0,7.737e-12,0.0,0.0,0.0,0,0,0,35.52390670776367,35.68842697143555,35.57575988769531,35.44331359863281
5,50.072363018992064,2016-09-30 21:02:49,50.01314466588121,1,1,0.0,4.151363849639893,1.864e-12,0.0,7.737e-12,0.0,0.0,0.0,0,0,0,35.448692321777344,35.61311721801758,35.50040054321289,35.44331359863281
6,60.07185488273219,2016-09-30 21:02:59,60.012636529621325,1,1,0.0,4.151363849639893,1.864e-12,0.0,7.737e-12,0.0,0.0,0.0,0,0,0,35.65964126586914,35.748958587646484,35.63630676269531,35.50387191772461
7,60.21263430620956,2016-09-30 21:03:00,0.14045199808265,2,1,2.9993393421173096,4.225914478302002,3.2674161237e-05,0.0,0.000136006756874,0.0,0.014910126104950905,0.0,0,0,0,35.65964126586914,35.748958587646484,35.63630676269531,35.50387191772461
8,120.21766881893028,2016-09-30 21:04:00,60.0048813719423,3,1,0.7456875443458557,4.200249671936035,0.017746800004957,0.0,0.074539482234961,0.0,0.0,0.0,0,0,0,35.53859329223633,35.552581787109375,35.59056854248047,35.38275909423828
9,180.23332600742643,2016-09-30 21:05:00,120.02053856043844,3,1,0.4811139702796936,4.200249671936035,0.027714147390365,0.0,0.116404393441957,0.0,0.0,0.0,0,0,0,35.68900680541992,35.70320510864258,35.51521301269531,35.53335952758789
10,240.26154068923648,2016-09-30 21:06:00,180.04875356223354,3,1,0.3363896310329437,4.200249671936035,0.034428952233643,0.0,0.144607931645714,0.0,0.0,0.0,0,0,0,35.61380386352539,35.552581787109375,35.59056854248047,35.38275909423828
11,300.2923498098344,2016-09-30 21:07:00,240.0795623628464,3,1,0.24608519673347473,4.200249671936035,0.039230101691029,0.0,0.164773734088828,0.0,0.0,0.0,0,0,0,35.599117279052734,35.61311721801758,35.57575988769531,35.59390640258789
12,360.3203996993436,2016-09-30 21:08:00,300.1076122523556,3,1,0.1849096715450287,4.200249671936035,0.042792767708071,0.0,0.17973765786208,0.0,0.0,0.0,0,0,0,35.674320220947266,35.61311721801758,35.50040054321289,35.44331359863281
13,420.3294399169846,2016-09-30 21:09:00,360.1166524699966,3,1,0.14329808950424194,4.200249671936035,0.045516224579528,0.0,0.191176739688056,0.0,0.0,0.0,0,0,0,35.674320220947266,35.61311721801758,35.57575988769531,35.518611907958984
14,480.3568395968715,2016-09-30 21:10:01,420.1440521498835,3,1,0.1138053759932518,4.200249671936035,0.047647192202659,0.0,0.200127258581531,0.0,0.0,0.0,0,0,0,35.68900680541992,35.70320510864258,35.51521301269531,35.53335952758789
15,540.3735130578874,2016-09-30 21:11:01,480.16072561089953,3,1,0.09067253768444061,4.200249671936035,0.049337038175385,0.0,0.207224993898126,0.0,0.0,0.0,0,0,0,35.68900680541992,35.70320510864258,35.51521301269531,35.53335952758789
16,600.3780178074255,2016-09-30 21:12:01,540.1652303604376,3,1,0.07360447198152542,4.200249671936035,0.050698732956678,0.0,0.212944410258216,0.0,0.0,0.0,0,0,0,35.61380386352539,35.552581787109375,35.51521301269531,35.53335952758789
17,660.3943146460372,2016-09-30 21:13:01,600.1815271990492,3,1,0.06046545132994652,4.199944019317627,0.051810965339838,0.0,0.217616034669094,0.0,-6.084848791942932e-05,0.0,0,0,0,35.599117279052734,35.61311721801758,35.57575988769531,35.669193267822266
18,718.989351165931,2016-09-30 21:13:59,658.7765637189431,3,1,0.04978445544838905,4.200249671936035,0.052715395050901,0.0,0.22141482644156,0.0,0.0,0.0,0,0,0,35.599117279052734,35.763729095458984,35.6511116027832,35.744476318359375
19,779.0161537593568,2016-09-30 21:15:00,60.02656387893557,4,1,0.0,4.197499752044678,0.052715616693485,0.0,0.221415757395749,0.0,0.0,0.0,0,0,0,35.65964126586914,35.824256896972656,35.63630676269531,35.654457092285156
20,839.0443988397467,2016-09-30 21:16:00,120.0548089593254,4,1,0.0,4.1968889236450195,0.052715616693485,0.0,0.221415757395749,0.0,0.0,0.0,0,0,0,35.553279876708984,35.642677307128906,35.530029296875,35.62339782714844
21,899.072487767432,2016-09-30 21:17:00,180.08289788701072,4,1,0.0,4.196583271026611,0.052715616693485,0.0,0.221415757395749,0.0,0.0,0.0,0,0,0,35.61380386352539,35.62789535522461,35.59056854248047,35.60865020751953
22,959.10072132836,2016-09-30 21:18:00,240.11113144793873,4,1,0.0,4.196277618408203,0.052715616693485,0.0,0.221415757395749,0.0,0.0,0.0,0,0,0,35.599117279052734,35.763729095458984,35.6511116027832,35.669193267822266
23,1019.12896704872,2016-09-30 21:19:00,300.13937748828374,4,1,0.0,4.195666790008545,0.052715616693485,0.0,0.221415757395749,0.0,-6.075358760426752e-05,0.0,0,0,0,35.74951934814453,35.68842697143555,35.6511116027832,35.59390640258789
24,1079.1572034895134,2016-09-30 21:20:00,360.16761360909214,4,1,0.0,4.195666790008545,0.052715616693485,0.0,0.221415757395749,0.0,0.0,0.0,0,0,0,35.599117279052734,35.61311721801758,35.57575988769531,35.669193267822266
25,1139.1854156114432,2016-09-30 21:21:00,420.19582605100686,4,1,0.0,4.195361137390137,0.052715616693485,0.0,0.221415757395749,0.0,-6.08487353019882e-05,0.0,0,0,0,35.674320220947266,35.763729095458984,35.57575988769531,35.744476318359375
26,1199.2136411727447,2016-09-30 21:22:00,480.22405161230864,4,1,0.0,4.195361137390137,0.052715616693485,0.0,0.221415757395749,0.0,0.0,0.0,0,0,0,35.674320220947266,35.763729095458984,35.6511116027832,35.59390640258789
27,1259.2418603343456,2016-09-30 21:23:00,540.2522704539243,4,1,0.0,4.1950554847717285,0.052715616693485,0.0,0.221415757395749,0.0,0.0,0.0,0,0,0,35.53859329223633,35.70320510864258,35.51521301269531,35.60865020751953
28,1319.020475477446,2016-09-30 21:24:00,600.0308859170099,4,1,0.0,4.1950554847717285,0.052715616693485,0.0,0.221415757395749,0.0,0.0,0.0,0,0,0,35.65964126586914,35.824256896972656,35.63630676269531,35.729736328125
29,1319.0206770174148,2016-09-30 21:24:00,1.599925251e-06,5,1,-0.7437304854393005,4.1391425132751465,0.052715616693485,3.30531e-10,0.221415757395749,1.368117e-09,0.0,0.0,0,0,0,35.599117279052734,35.763729095458984,35.57575988769531,35.59390640258789
30,1319.1455310242354,2016-09-30 21:24:01,0.124855926731103,5,1,-2.999305486679077,4.116838455200195,0.052715616693485,7.4706647298e-05,0.221415757395749,0.000308931712231,-0.004460811614990234,0.0,0,0,0,35.599117279052734,35.763729095458984,35.57575988769531,35.59390640258789
31,1320.8927690732737,2016-09-30 21:24:02,1.872093655784402,5,1,-2.999319553375244,4.106144905090332,0.052715616693485,0.001530424656088,0.221415757395749,0.006293377139387,-0.006599521730095148,0.0,0,0,0,35.50922775268555,35.824256896972656,35.63630676269531,35.729736328125
32,1323.9814657293662,2016-09-30 21:24:05,4.960790311876629,5,1,-2.999319553375244,4.096062183380127,0.052715616693485,0.004103896751469,0.221415757395749,0.016846975644594,-0.008616065606474876,0.0,0,0,0,35.448692321777344,35.763729095458984,35.50040054321289,35.669193267822266
33,1328.786186852795,2016-09-30 21:24:10,9.765511435305742,5,1,-2.9996676445007324,4.085979461669922,0.052715616693485,0.008107233980601,0.221415757395749,0.03322401708385,-0.0021897011902183294,0.0,0,0,0,35.448692321777344,35.68842697143555,35.6511116027832,35.59390640258789
34,1335.369340087876,2016-09-30 21:24:17,16.3486646703866,5,1,-2.9996814727783203,4.075896739959717,0.052715616693485,0.013592301418687,0.221415757395749,0.0556074202672,-0.0015206498792394996,0.0,0,0,0,35.599117279052734,35.763729095458984,35.57575988769531,35.669193267822266
35,1343.5748556061908,2016-09-30 21:24:25,24.554180508686635,5,1,-3.000027656555176,4.065814018249512,0.052715616693485,0.020429180735637,0.221415757395749,0.083438948279531,-0.0011557778343558311,0.0,0,0,0,35.65964126586914,35.824256896972656,35.560951232910156,35.654457092285156
36,1353.5899701000417,2016-09-30 21:24:35,34.56929500253748,5,1,-2.9996814727783203,4.056342601776123,0.052715616693485,0.028773750216303,0.221415757395749,0.117327312855618,-0.00097320118220523,0.0,0,0,0,35.65964126586914,35.824256896972656,35.560951232910156,35.729736328125
37,1363.6051153124577,2016-09-30 21:24:45,44.584439894968106,5,1,-3.0000295639038086,4.048704147338867,0.052715616693485,0.037118267608891,0.221415757395749,0.151143021916122,-0.0007299049757421017,0.0,0,0,0,35.734840393066406,35.748958587646484,35.63630676269531,35.729736328125
38,1373.6201949279375,2016-09-30 21:24:55,54.59951951044847,5,1,-2.999319553375244,4.041676998138428,0.052715616693485,0.04546278485232,0.221415757395749,0.184896405747743,-0.000669053930323571,0.0,0,0,0,35.599117279052734,35.91432189941406,35.50040054321289,35.59390640258789
39,1383.6352636639267,2016-09-30 21:25:05,64.61458824643712,5,1,-2.9996676445007324,4.035566329956055,0.052715616693485,0.053807221519063,0.221415757395749,0.218595522206854,-0.0006082021864131093,0.0,0,0,0,35.65964126586914,35.89955139160156,35.63630676269531,35.654457092285156
40,1393.6503794377177,2016-09-30 21:25:15,74.62970402022816,5,1,-2.999319553375244,4.03006649017334,0.052715616693485,0.062151799021416,0.221415757395749,0.252247203383074,-0.0005474471254274249,0.0,0,0,0,35.734840393066406,35.824256896972656,35.71165084838867,35.654457092285156
41,1403.665471532615,2016-09-30 21:25:25,84.6447961151255,5,1,-2.999309539794922,4.025177955627441,0.052715616693485,0.070496308796703,0.221415757395749,0.285855992146333,-0.00048660478205420077,0.0,0,0,0,35.74951934814453,35.763729095458984,35.50040054321289,35.669193267822266
42,1413.6806909815623,2016-09-30 21:25:35,94.6600158840579,5,1,-2.999319553375244,4.020900726318359,0.052715616693485,0.078840944760139,0.221415757395749,0.319426774629961,-0.0004257434920873493,0.0,0,0,0,35.77977752685547,35.79399490356445,35.60603332519531,35.699466705322266
43,1423.695729318971,2016-09-30 21:25:45,104.67505390148172,5,1,-2.9996676445007324,4.016928672790527,0.052715616693485,0.087185307944468,0.221415757395749,0.352961771711577,-0.00042574957478791475,0.0,0,0,0,35.960411071777344,35.824256896972656,35.63630676269531,35.654457092285156
44,1433.7108105343766,2016-09-30 21:25:55,114.69013543687238,5,1,-2.999319553375244,4.0132622718811035,0.052715616693485,0.095529672356322,0.221415757395749,0.386465445160837,-0.00036490242928266525,0.0,0,0,0,35.82471466064453,35.763729095458984,35.57575988769531,35.669193267822266
45,1443.7259003893787,2016-09-30 21:26:05,124.70522497188928,5,1,-2.999319553375244,4.010206699371338,0.052715616693485,0.103874208826246,0.221415757395749,0.419940803130108,-0.00024330048472620547,0.0,0,0,0,35.945735931396484,35.88478469848633,35.69684982299805,35.715003967285156
