Unnamed: 0,Data_Point,Test_Time(s),Date_Time,Step_Time(s),count,Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Temperature (C)_1,Temperature (C)_2,Temperature (C)_3,Temperature (C)_4
1.1,1.0,10.00622652910906,2017-03-14 18:36:22,9.951245290263746,,1,1.0,0.0,3.08413028717041,1.171e-12,0.0,3.613e-12,0.0,-6.108284287620336e-05,0.0,0.0,0.0,0.0,6.009869575500488,6.367384433746338,6.236043930053711,6.433522701263428
1.1,2.0,20.014826367518108,2017-03-14 18:36:32,19.95984480869071,,1,1.0,0.0,3.08413028717041,1.171e-12,0.0,3.613e-12,0.0,-6.108284287620336e-05,0.0,0.0,0.0,0.0,6.086798667907715,6.2903523445129395,6.158967018127441,6.433522701263428
1.1,3.0,30.01702688428917,2017-03-14 18:36:42,29.962045325461773,,1,1.0,0.0,3.08413028717041,1.171e-12,0.0,3.613e-12,0.0,-6.108284287620336e-05,0.0,0.0,0.0,0.0,6.13277006149292,6.336423397064209,6.128000259399414,6.402555465698242
1.1,4.0,40.0319434889593,2017-03-14 18:36:52,39.976961930131914,,1,1.0,0.0,3.0844357013702393,1.171e-12,0.0,3.613e-12,0.0,0.0,0.0,0.0,0.0,0.0,6.163726806640625,6.2903523445129395,6.236043930053711,6.433522701263428
1.1,5.0,50.0432916534621,2017-03-14 18:37:02,49.9883100946347,,1,1.0,0.0,3.0844357013702393,1.171e-12,0.0,3.613e-12,0.0,0.0,0.0,0.0,0.0,0.0,6.024884223937988,6.30546236038208,6.174111366271973,6.371588706970215
1.1,6.0,60.05832825141261,2017-03-14 18:37:12,60.00334669258521,,1,1.0,0.0,3.0844357013702393,1.171e-12,0.0,3.613e-12,0.0,0.0,0.0,0.0,0.0,0.0,6.101812839508057,6.382492542266846,6.0970330238342285,6.371588706970215
,,,,,1 Count,6,,,,,,,,,,,,,,,,
2.1,7.0,60.05862280509366,2017-03-14 18:37:13,9.59946243e-07,,2,1.0,0.7561835050582886,3.119572401046753,2.02809e-10,0.0,6.32636e-10,0.0,0.0,0.0,0.0,0.0,0.0,6.101812839508057,6.382492542266846,6.0970330238342285,6.371588706970215
2.1,8.0,60.183402697419695,2017-03-14 18:37:13,0.124781172254354,,2,1.0,2.998979091644287,3.2668402194976807,5.5343993309e-05,0.0,0.000174325428569,0.0,0.029453564435243607,0.0,0.0,0.0,0.0,6.101812839508057,6.382492542266846,6.0970330238342285,6.371588706970215
2.1,9.0,60.24577424461306,2017-03-14 18:37:13,0.18715239946563,,2,1.0,2.9982786178588867,3.2983102798461914,0.000107299296561,0.0,0.000344463631596,0.0,0.035747576504945755,0.0,0.0,0.0,0.0,6.101812839508057,6.382492542266846,6.0970330238342285,6.371588706970215
2.1,10.0,60.37061429357031,2017-03-14 18:37:13,0.311992448422888,,2,1.0,2.9993491172790527,3.3105316162109375,0.000211296351185,0.0,0.000687637215928,0.0,0.038191843777894974,0.0,0.0,0.0,0.0,6.163726806640625,6.2903523445129395,6.313117980957031,6.433522701263428
2.1,11.0,60.74498884859523,2017-03-14 18:37:14,0.686367323429888,,2,1.0,2.9989869594573975,3.321836471557617,0.000523217865589,0.0,0.001721673006082,0.0,0.04045281559228897,0.0,0.0,0.0,0.0,6.024884223937988,6.30546236038208,6.174111366271973,6.525602340698242
2.1,12.0,61.68099563221534,2017-03-14 18:37:15,1.622373787067924,,2,1.0,2.9993393421173096,3.3328356742858887,0.00130298202483,0.0,0.004315789471345,0.0,0.04265265539288521,0.0,0.0,0.0,0.0,6.086798667907715,6.367384433746338,6.236043930053711,6.433522701263428
2.1,13.0,62.96014287996947,2017-03-14 18:37:16,2.90152103482205,,2,1.0,2.999701499938965,3.3438351154327393,0.002368597337154,0.0,0.00787267870752,0.0,0.044852543622255325,0.0,0.0,0.0,0.0,6.024884223937988,6.30546236038208,6.174111366271973,6.448596954345703
2.1,14.0,64.39534634857523,2017-03-14 18:37:17,4.336724503427807,,2,1.0,2.9989869594573975,3.3539175987243652,0.003564272231889,0.0,0.011876230556613,0.0,0.04686903953552246,0.0,0.0,0.0,0.0,6.101812839508057,6.30546236038208,6.0970330238342285,6.371588706970215
2.1,15.0,65.98651516312161,2017-03-14 18:37:19,5.927893317974194,,2,1.0,2.9989869594573975,3.3640003204345703,0.004889861895901,0.0,0.016328418975531,0.0,0.00802900455892086,0.0,0.0,0.0,0.0,5.947953701019287,6.228429317474365,6.0970330238342285,6.371588706970215
2.1,16.0,67.76489205401573,2017-03-14 18:37:21,7.706270208868303,,2,1.0,2.9993393421173096,3.3746941089630127,0.006371457397963,0.0,0.021319904543038,0.0,0.006569193676114082,0.0,0.0,0.0,0.0,6.163726806640625,6.367384433746338,6.158967018127441,6.433522701263428
2.1,17.0,69.730415584698,2017-03-14 18:37:23,9.671793739550584,,2,1.0,2.9989912509918213,3.385082244873047,0.008008925084908,0.0,0.026853997115608,0.0,0.005839324556291103,0.0,0.0,0.0,0.0,6.009869575500488,6.2903523445129395,6.236043930053711,6.433522701263428
2.1,18.0,71.71567561013657,2017-03-14 18:37:25,11.65705408497124,,2,1.0,2.9989869594573975,3.395470380783081,0.009662744482503,0.0,0.032460631918663,0.0,0.005547850392758846,0.0,0.0,0.0,0.0,6.163726806640625,6.367384433746338,6.158967018127441,6.433522701263428
