Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Temperature (C)_1,Temperature (C)_2,Temperature (C)_3,Temperature (C)_4
1,10.012097034393353,2016-10-28 20:56:42,9.957038167176828,1,1,0.0,3.6542584896087646,1.169e-12,0.0,4.273e-12,0.0,-6.11305222264491e-05,0.0,0,0,0,16.034170150756836,16.0208683013916,15.972166061401367,15.85386848449707
2,20.02724320676418,2016-10-28 20:56:52,19.972184339547653,1,1,0.0,3.654564142227173,1.169e-12,0.0,4.273e-12,0.0,6.11305222264491e-05,0.0,0,0,0,16.01922607421875,16.08247184753418,16.110462188720703,15.99211597442627
3,30.040676499160757,2016-10-28 20:57:02,29.985617631944233,1,1,0.0,3.654564142227173,1.169e-12,0.0,4.273e-12,0.0,0.0,0.0,0,0,0,16.01922607421875,16.08247184753418,16.1871395111084,15.99211597442627
4,40.05337638582205,2016-10-28 20:57:12,39.99831783859058,1,1,0.0,3.6542584896087646,1.169e-12,0.0,4.273e-12,0.0,-6.11305222264491e-05,0.0,0,0,0,16.080820083618164,16.144075393676758,16.172073364257812,16.05373764038086
5,50.06852831792378,2016-10-28 20:57:22,50.01346945070726,1,1,0.0,3.654564142227173,1.169e-12,0.0,4.273e-12,0.0,0.0,0.0,0,0,0,16.01922607421875,16.15911102294922,16.1871395111084,15.915491104125977
6,60.05642104357564,2016-10-28 20:57:32,60.00136217635912,1,1,0.0,3.654564142227173,1.169e-12,0.0,4.273e-12,0.0,0.0,0.0,0,0,0,16.157352447509766,16.22071075439453,16.172073364257812,15.977116584777832
7,60.07238433811976,2016-10-28 20:57:33,0.015635749497783,2,1,0.7558311223983765,3.786555290222168,1.654327413e-06,0.0,6.155023441e-06,0.0,0.026398230344057083,0.0,0,0,0,16.157352447509766,16.22071075439453,16.172073364257812,15.977116584777832
8,61.788377446921714,2016-10-28 20:57:35,1.73162885829974,2,1,3.000049591064453,3.796638011932373,0.001407017586664,0.0,0.005335819541675,0.0,0.0284147746860981,0.0,0,0,0,15.95763111114502,16.0208683013916,16.048851013183594,15.930496215820312
9,65.39192140934779,2016-10-28 20:57:38,5.335172820725815,2,1,2.9989869594573975,3.806720495223999,0.004409487812412,0.0,0.016750915418998,0.0,0.0023220540024340153,0.0,0,0,0,16.034170150756836,16.0208683013916,16.048851013183594,15.930496215820312
10,71.00785391298123,2016-10-28 20:57:44,10.951105324359244,2,1,2.999687433242798,3.816803216934204,0.009088574588424,0.0,0.034586986173539,0.0,0.001405477523803711,0.0,0,0,0,16.01922607421875,16.15911102294922,16.033781051635742,15.99211597442627
11,79.03919772859815,2016-10-28 20:57:52,18.98244945996123,2,1,2.9989869594573975,3.826885938644409,0.015779645583821,0.0,0.06015932895306,0.0,0.0012193485163152218,0.0,0,0,0,16.17228889465332,16.15911102294922,16.110462188720703,15.99211597442627
12,89.0483125027559,2016-10-28 20:58:02,28.99156391413393,2,1,2.9989869594573975,3.8360519409179688,0.024118558990789,0.0,0.09211109209195,0.0,0.0008525729645043612,0.0,0,0,0,16.17228889465332,16.005830764770508,16.033781051635742,15.915491104125977
13,99.06342379675625,2016-10-28 20:58:12,39.00667520813427,2,1,2.9993393421173096,3.8439958095550537,0.032462620616099,0.0,0.124155593660197,0.0,0.0006690595764666796,0.0,0,0,0,16.248815536499023,16.08247184753418,16.110462188720703,15.99211597442627
14,109.09176807251168,2016-10-28 20:58:22,49.035019483889705,2,1,2.999699354171753,3.8513286113739014,0.040817783274137,0.0,0.156305381742197,0.0,0.0006714509217999876,0.0,0,0,0,16.478368759155273,16.08247184753418,16.110462188720703,15.99211597442627
15,119.1067888107428,2016-10-28 20:58:32,59.05004054210587,2,1,2.999687433242798,3.8577449321746826,0.049161945016934,0.0,0.188468521995176,0.0,0.0006082543986849487,0.0,0,0,0,16.34027862548828,16.0208683013916,16.125532150268555,16.007122039794922
16,129.11596694194048,2016-10-28 20:58:42,69.05921867330358,2,1,2.9989869594573975,3.8635501861572266,0.057501073554572,0.0,0.220662406764446,0.0,0.0006082942127250135,0.0,0,0,0,16.41679573059082,16.0208683013916,16.048851013183594,15.930496215820312
17,139.12861563099375,2016-10-28 20:58:52,79.07186736235683,2,1,2.999697208404541,3.868744134902954,0.065843065438818,0.0,0.252913662978369,0.0,0.0004866078379563987,0.0,0,0,0,16.462522506713867,15.990067481994629,16.018047332763672,15.976314544677734
18,149.14374260426155,2016-10-28 20:59:02,89.08699401563959,2,1,2.999687433242798,3.8736326694488525,0.074187272681105,0.0,0.285215852071241,0.0,0.00048660358879715204,0.0,0,0,0,16.707881927490234,16.08247184753418,16.1871395111084,15.99211597442627
