Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Temperature (C)_1,Temperature (C)_2,Temperature (C)_3,Temperature (C)_4
1,10.01235494141706,2016-10-28 20:57:22,9.957102804156992,1,1,0.0,3.6557068824768066,0.0,9.79e-13,0.0,3.577e-12,6.103515625e-05,0.0,0,0,0,16.647703170776367,16.08247184753418,16.033781051635742,15.99211597442627
2,20.015816539691187,2016-10-28 20:57:32,19.96056440243112,1,1,0.0,3.6557068824768066,0.0,9.79e-13,0.0,3.577e-12,6.103515625e-05,0.0,0,0,0,16.49498176574707,16.15911102294922,16.110462188720703,15.99211597442627
3,30.031079826590425,2016-10-28 20:57:42,29.97582768933035,1,1,0.0,3.6557068824768066,0.0,9.79e-13,0.0,3.577e-12,0.0,0.0,0,0,0,16.57134437561035,16.08247184753418,16.033781051635742,15.99211597442627
4,40.043477327379186,2016-10-28 20:57:52,39.988225510104165,1,1,0.0,3.6557068824768066,0.0,9.79e-13,0.0,3.577e-12,0.0,0.0,0,0,0,16.49498176574707,16.08247184753418,16.110462188720703,15.99211597442627
5,50.05251978491557,2016-10-28 20:58:02,49.9972676476555,1,1,0.0,3.6554017066955566,0.0,9.79e-13,0.0,3.577e-12,-6.082636537030339e-05,0.0,0,0,0,16.57134437561035,16.15911102294922,16.110462188720703,15.99211597442627
6,60.06764451828803,2016-10-28 20:58:12,60.012392701013006,1,1,0.0,3.6557068824768066,0.0,9.79e-13,0.0,3.577e-12,0.0,0.0,0,0,0,16.57134437561035,16.08247184753418,16.110462188720703,15.99211597442627
7,60.099231365177246,2016-10-28 20:58:12,0.031295497874339,2,1,1.4941707849502563,3.778381824493408,6.4474169e-06,3.858e-12,2.3965334581e-05,1.4105e-11,0.024534989148378372,0.0,0,0,0,16.57134437561035,16.08247184753418,16.110462188720703,15.99211597442627
8,60.22399737610922,2016-10-28 20:58:12,0.156061508806309,2,1,2.997511863708496,3.8201889991760254,9.7291001968e-05,3.858e-12,0.000367749868912,1.4105e-11,0.03289642184972763,0.0,0,0,0,16.57134437561035,16.08247184753418,16.110462188720703,15.99211597442627
9,62.12730781344558,2016-10-28 20:58:14,2.059371626157626,2,1,2.9982070922851562,3.830259323120117,0.001682083365134,3.858e-12,0.006431133214856,1.4105e-11,0.03491048887372017,0.0,0,0,0,16.509763717651367,16.0208683013916,16.048851013183594,15.930496215820312
10,66.00204006595474,2016-10-28 20:58:18,5.934103878666789,2,1,2.997511863708496,3.840329647064209,0.004908400503432,3.858e-12,0.018806119494027,1.4105e-11,0.002973178867250681,0.0,0,0,0,16.49498176574707,16.08247184753418,16.033781051635742,15.99211597442627
11,72.09305309382609,2016-10-28 20:58:24,12.025117226523175,2,1,2.997859001159668,3.850399971008301,0.00998013138585,3.858e-12,0.03830906876986,1.4105e-11,0.0016389768570661545,0.0,0,0,0,16.58612632751465,16.0208683013916,16.048851013183594,15.930496215820312
12,80.43490592246192,2016-10-28 20:58:33,20.366970055159022,2,1,2.997511863708496,3.8604702949523926,0.016926019986709,3.858e-12,0.065088292167625,1.4105e-11,0.0012198020704090595,0.0,0,0,0,16.724056243896484,16.15911102294922,16.033781051635742,15.99211597442627
13,90.46368825775124,2016-10-28 20:58:43,30.395752390448315,2,1,2.997147560119629,3.8699302673339844,0.025276543831414,3.858e-12,0.097364177756281,1.4105e-11,0.0009112489642575383,0.0,0,0,0,16.66248321533203,16.0208683013916,15.972166061401367,15.930496215820312
14,100.47632350743235,2016-10-28 20:58:53,40.4083873201444,2,1,2.997147560119629,3.878474712371826,0.033613754318837,3.858e-12,0.129663381754043,1.4105e-11,0.0009720493690110743,0.0,0,0,0,16.815185546875,16.0208683013916,16.048851013183594,16.083742141723633
15,110.49150871797931,2016-10-28 20:59:03,50.42357253069137,2,1,2.9978599548339844,3.885493516921997,0.041952850664838,3.858e-12,0.162037055875232,1.4105e-11,0.0006682461826130748,0.0,0,0,0,16.891529083251953,16.0208683013916,16.125532150268555,16.007122039794922
16,120.49500295472858,2016-10-28 20:59:13,60.42706676744062,2,1,2.997147560119629,3.892512321472168,0.050282361296396,3.858e-12,0.194432348078339,1.4105e-11,0.000668295135255903,0.0,0,0,0,16.96786880493164,16.0208683013916,16.048851013183594,15.930496215820312
17,130.5177247731652,2016-10-28 20:59:23,70.44978858587726,2,1,2.997511863708496,3.8983101844787598,0.058627802659406,3.858e-12,0.226942605264632,1.4105e-11,0.0005463118432089686,0.0,0,0,0,17.120534896850586,16.0208683013916,16.048851013183594,15.85386848449707
18,140.5212388489876,2016-10-28 20:59:33,80.45330266169964,2,1,2.9978489875793457,3.9034979343414307,0.066957179737778,3.858e-12,0.259437273640265,1.4105e-11,0.00048710801638662815,0.0,0,0,0,17.273181915283203,16.0208683013916,16.125532150268555,16.083742141723633
19,150.5363472631225,2016-10-28 20:59:43,90.46841107583454,2,1,2.997859001159668,3.9089908599853516,0.075296496707754,3.858e-12,0.292013675962645,1.4105e-11,0.0005467350129038095,0.0,0,0,0,17.502120971679688,16.0208683013916,16.125532150268555,16.007122039794922
20,160.5591807563417,2016-10-28 20:59:53,100.49124488903875,2,1,2.9971752166748047,3.9135682582855225,0.083642105092573,3.858e-12,0.324655527719709,1.4105e-11,0.00048612241516821086,0.0,0,0,0,17.425811767578125,16.0208683013916,16.048851013183594,15.930496215820312
21,170.58828467660652,2016-10-28 21:00:03,110.52034880930364,2,1,2.997511863708496,3.9178407192230225,0.091993022748206,3.858e-12,0.357354772091688,1.4105e-11,0.0004877016181126237,0.0,0,0,0,17.639955520629883,16.08247184753418,16.110462188720703,16.068737030029297
22,180.603231178306,2016-10-28 21:00:13,120.53529499101802,2,1,2.997511863708496,3.9215025901794434,0.100332131891387,3.858e-12,0.390041277846393,1.4105e-11,0.00042527701589278877,0.0,0,0,0,17.65472412109375,16.0208683013916,16.125532150268555,15.930496215820312
23,190.60595969082985,2016-10-28 21:00:23,130.5380235035419,2,1,2.997511863708496,3.9254696369171143,0.108661158485034,3.858e-12,0.422719828009579,1.4105e-11,0.0003660537477117032,0.0,0,0,0,17.959877014160156,16.097511291503906,16.125532150268555,16.007122039794922
24,200.62104858587668,2016-10-28 21:00:33,140.55311271857377,2,1,2.997859001159668,3.928826332092285,0.117000377035859,3.858e-12,0.455468524376437,1.4105e-11,0.00030372204491868615,0.0,0,0,0,17.959877014160156,16.0208683013916,16.125532150268555,15.930496215820312
