Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Temperature (C)_1,Temperature (C)_2,Temperature (C)_3,Temperature (C)_4
1,10.016168325473377,2017-01-24 19:05:07,9.952556408660609,1,1,0.0,3.477461338043213,0.0,1.132091e-09,0.0,3.936802e-09,0.0,0.0,0,0,0,35.00387191772461,34.574485778808594,34.461002349853516,34.480323791503906
2,20.03892665818008,2017-01-24 19:05:17,19.975314421386255,1,1,0.0,3.477461338043213,0.0,1.132091e-09,0.0,3.936802e-09,0.0,0.0,0,0,0,35.079097747802734,34.49909973144531,34.536434173583984,34.32957458496094
3,30.048439055046188,2017-01-24 19:05:27,29.98482681825236,1,1,0.0,3.477155923843384,0.0,1.132091e-09,0.0,3.936802e-09,-6.081735773477703e-05,0.0,0,0,0,35.139678955078125,34.71046829223633,34.44619369506836,34.39020538330078
4,40.07118106871898,2017-01-24 19:05:37,40.007568831925155,1,1,0.0,3.477461338043213,0.0,1.132091e-09,0.0,3.936802e-09,0.0,0.0,0,0,0,35.079097747802734,34.574485778808594,34.38556671142578,34.40494918823242
5,50.08619106012749,2017-01-24 19:05:47,50.02257882333366,1,1,0.0,3.477461338043213,0.0,1.132091e-09,0.0,3.936802e-09,0.0,0.0,0,0,0,35.22953414916992,34.64986801147461,34.31012725830078,34.40494918823242
6,60.06996834051249,2017-01-24 19:05:57,60.00635610371866,1,1,0.0,3.477461338043213,0.0,1.132091e-09,0.0,3.936802e-09,0.0,0.0,0,0,0,35.079097747802734,34.49909973144531,34.536434173583984,34.40494918823242
7,60.07026101823083,2017-01-24 19:05:58,1.279924228e-06,2,1,0.6205705404281616,3.516552448272705,2.20634e-10,1.132091e-09,7.75872e-10,3.936802e-09,0.0,0.0,0,0,0,35.079097747802734,34.49909973144531,34.536434173583984,34.40494918823242
8,60.22624186416475,2017-01-24 19:05:58,0.155982125858149,2,1,2.5034961700439453,3.5565600395202637,6.7760440258e-05,1.132091e-09,0.000238663086636,3.936802e-09,0.008001518435776234,0.0,0,0,0,35.079097747802734,34.49909973144531,34.536434173583984,34.40494918823242
9,64.62541055337834,2017-01-24 19:06:02,4.555150495090691,2,1,2.5034914016723633,3.566638231277466,0.003126526463341,1.132091e-09,0.011136763096331,3.936802e-09,0.010017156600952148,0.0,0,0,0,35.079097747802734,34.49909973144531,34.536434173583984,34.40494918823242
10,74.64033574980672,2017-01-24 19:06:12,14.57007601150012,2,1,2.5027966499328613,3.5745785236358643,0.010089966226133,1.132091e-09,0.036002718445342,3.936802e-09,0.0006687769200652838,0.0,0,0,0,35.079097747802734,34.574485778808594,34.461002349853516,34.32957458496094
