Unnamed: 0,Data_Point,Test_Time(s),Date_Time,Step_Time(s),count,Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Temperature (C)_1,Temperature (C)_2,Temperature (C)_3,Temperature (C)_4
1.1,1.0,10.020542207975248,2017-03-14 18:37:50,9.95265289143808,,1,1.0,0.0,3.2374165058135986,0.0,1.136605e-09,0.0,3.679318e-09,6.080177990952507e-05,0.0,0.0,0.0,0.0,7.161611557006836,6.2903523445129395,6.158967018127441,6.587533950805664
1.1,2.0,20.03560472447432,2017-03-14 18:38:00,19.967715407937153,,1,1.0,0.0,3.2371110916137695,0.0,1.136605e-09,0.0,3.679318e-09,-6.080116145312786e-05,0.0,0.0,0.0,0.0,7.084728240966797,6.2903523445129395,6.158967018127441,6.5105299949646
1.1,3.0,30.058300093533653,2017-03-14 18:38:10,29.990410776996487,,1,1.0,0.0,3.2371110916137695,0.0,1.136605e-09,0.0,3.679318e-09,0.0,0.0,0.0,0.0,0.0,7.146642684936523,6.429309844970703,6.22090482711792,6.495460510253906
1.1,4.0,40.07334693091076,2017-03-14 18:38:20,40.00545761437359,,1,1.0,0.0,3.2371110916137695,0.0,1.136605e-09,0.0,3.679318e-09,0.0,0.0,0.0,0.0,0.0,7.161611557006836,6.444413185119629,6.236043930053711,6.5105299949646
1.1,5.0,50.08831153289305,2017-03-14 18:38:30,50.02042221635588,,1,1.0,0.0,3.2374165058135986,0.0,1.136605e-09,0.0,3.679318e-09,6.080241655581631e-05,0.0,0.0,0.0,0.0,7.161611557006836,6.2903523445129395,6.236043930053711,6.5105299949646
1.1,6.0,60.095538968156674,2017-03-14 18:38:40,60.02764997160159,,1,1.0,0.0,3.2371110916137695,0.0,1.136605e-09,0.0,3.679318e-09,0.0,0.0,0.0,0.0,0.0,7.084728240966797,6.2903523445129395,6.313117980957031,6.5105299949646
,,,,,1 Count,6,,,,,,,,,,,,,,,,
2.1,7.0,60.095840017488435,2017-03-14 18:38:40,1.599910405e-06,,2,1.0,0.6202304363250732,3.4377591609954834,2.75643e-10,1.136605e-09,9.47593e-10,3.679318e-09,0.0,0.0,0.0,0.0,0.0,7.161611557006836,6.2903523445129395,6.158967018127441,6.433522701263428
2.1,8.0,60.251862960203646,2017-03-14 18:38:41,0.156024222643532,,2,1.0,2.5024423599243164,3.4606642723083496,8.4006170437e-05,1.136605e-09,0.000289041552626,3.679318e-09,0.004581022076308727,0.0,0.0,0.0,0.0,7.161611557006836,6.2903523445129395,6.158967018127441,6.433522701263428
2.1,9.0,60.439028478934596,2017-03-14 18:38:41,0.343189741374483,,2,1.0,2.5027823448181152,3.471658706665039,0.000214119516731,1.136605e-09,0.000739916320086,3.679318e-09,0.006779909133911133,0.0,0.0,0.0,0.0,7.084728240966797,6.2903523445129395,6.236043930053711,6.433522701263428
2.1,10.0,61.46865561981471,2017-03-14 18:38:42,1.372817202236675,,2,1.0,2.5027823448181152,3.481736898422241,0.000929865599312,1.136605e-09,0.003228726622371,3.679318e-09,0.008795547299087048,0.0,0.0,0.0,0.0,7.084728240966797,6.367384433746338,6.236043930053711,6.433522701263428
2.1,11.0,63.34059847101504,2017-03-14 18:38:44,3.244759733454926,,2,1.0,2.5024423599243164,3.4921205043792725,0.002231159735102,1.136605e-09,0.00776644536659,3.679318e-09,0.010872269049286842,0.0,0.0,0.0,0.0,7.161611557006836,6.444413185119629,6.236043930053711,6.5105299949646
2.1,12.0,65.5869981126351,2017-03-14 18:38:46,5.491159695057077,,2,1.0,2.5024423599243164,3.5021986961364746,0.003792785737129,1.136605e-09,0.01322769766274,3.679318e-09,0.005654269363731146,0.0,0.0,0.0,0.0,7.084728240966797,6.444413185119629,6.158967018127441,6.433522701263428
2.1,13.0,68.02051399574566,2017-03-14 18:38:48,7.924675578167622,,2,1.0,2.5020875930786133,3.5122768878936768,0.005484448769256,1.136605e-09,0.019160487431681,3.679318e-09,0.0043167732656002045,0.0,0.0,0.0,0.0,7.223524570465088,6.429309844970703,6.22090482711792,6.495460510253906
2.1,14.0,71.01563938872364,2017-03-14 18:38:51,10.919800971145614,,2,1.0,2.5027823448181152,3.522660493850708,0.007566528089977,1.136605e-09,0.026483878074865,3.679318e-09,0.0037694890052080154,0.0,0.0,0.0,0.0,7.146642684936523,6.352279186248779,6.3750529289245605,6.495460510253906
2.1,15.0,74.01080285956927,2017-03-14 18:38:54,13.914964122009168,,2,1.0,2.5028014183044434,3.53273868560791,0.009648586503624,1.136605e-09,0.033828996407081,3.679318e-09,0.003465516958385706,0.0,0.0,0.0,0.0,7.161611557006836,6.2903523445129395,6.158967018127441,6.433522701263428
2.1,16.0,77.28674548678214,2017-03-14 18:38:58,17.19090674922204,,2,1.0,2.5027823448181152,3.5428168773651123,0.011925778890766,1.136605e-09,0.041885369429572,3.679318e-09,0.0031615442130714655,0.0,0.0,0.0,0.0,7.146642684936523,6.429309844970703,6.297980308532715,6.495460510253906
2.1,17.0,80.6796364448885,2017-03-14 18:39:01,20.583797707328387,,2,1.0,2.5024423599243164,3.5528950691223145,0.014284304510312,1.136605e-09,0.050253022837374,3.679318e-09,0.0029229253996163607,0.0,0.0,0.0,0.0,7.238494396209717,6.2903523445129395,6.158967018127441,6.433522701263428
