Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Temperature (C)_1,Temperature (C)_2,Temperature (C)_3,Temperature (C)_4
1,10.014977995562822,2017-02-08 19:07:55,9.952632564152202,1,1,0.0,3.6258859634399414,3.07e-13,0.0,1.115e-12,0.0,-6.0802220104960725e-05,0.0,0,0,0,16.826183319091797,16.129045486450195,16.003644943237305,15.962117195129395
2,20.04334175642818,2017-02-08 19:08:05,19.98099632501756,1,1,0.0,3.6258859634399414,3.07e-13,0.0,1.115e-12,0.0,-6.080167804611847e-05,0.0,0,0,0,16.826183319091797,16.129045486450195,16.003644943237305,15.962117195129395
3,30.0660514520142,2017-02-08 19:08:15,30.00370602060358,1,1,0.0,3.6258859634399414,3.07e-13,0.0,1.115e-12,0.0,-6.0708702221745625e-05,0.0,0,0,0,16.826183319091797,16.052404403686523,16.003644943237305,15.962117195129395
4,40.09009514862736,2017-02-08 19:08:25,40.027750037197805,1,1,0.0,3.6258859634399414,3.07e-13,0.0,1.115e-12,0.0,-6.107151421019807e-05,0.0,0,0,0,17.04068374633789,16.114015579223633,15.988582611083984,16.023746490478516
5,50.10370586287308,2017-02-08 19:08:35,50.04136075144351,1,1,0.0,3.6261913776397705,3.07e-13,0.0,1.115e-12,0.0,6.080300227040425e-05,0.0,0,0,0,16.749713897705078,16.129045486450195,16.08032989501953,16.038738250732422
6,60.08767865168398,2017-02-08 19:08:45,60.025333540254415,1,1,0.0,3.6258859634399414,3.07e-13,0.0,1.115e-12,0.0,0.0,0.0,0,0,0,16.88776206970215,16.114015579223633,16.06526756286621,16.023746490478516
7,60.08797919363514,2017-02-08 19:08:46,9.59943171e-07,2,1,0.6202304363250732,3.663144826889038,1.65692e-10,0.0,6.06944e-10,0.0,0.0,0.0,0,0,0,16.88776206970215,16.114015579223633,16.06526756286621,16.023746490478516
8,60.2439843581294,2017-02-08 19:08:46,0.156006124437433,2,1,2.5028014183044434,3.7055952548980713,6.7731661068e-05,0.0,0.000248513218007,0.0,0.00849008560180664,0.0,0,0,0,16.88776206970215,16.114015579223633,16.06526756286621,16.023746490478516
9,63.239148164432066,2017-02-08 19:08:49,3.151170250721158,2,1,2.5024423599243164,3.7156736850738525,0.002149891641239,0.0,0.007976969687596,0.0,0.01050577126443386,0.0,0,0,0,16.826183319091797,16.129045486450195,16.08032989501953,15.962117195129395
10,69.51021339737028,2017-02-08 19:08:55,9.422235483659367,2,1,2.5027823448181152,3.7257518768310547,0.006509160887391,0.0,0.024197889311157,0.0,0.0015807984163984656,0.0,0,0,0,16.749713897705078,16.052404403686523,16.08032989501953,15.962117195129395
11,79.15087595014715,2017-02-08 19:09:05,19.062897716455183,2,1,2.5020833015441895,3.735830068588257,0.013210850606547,0.0,0.049202081452785,0.0,0.0009727328433655202,0.0,0,0,0,16.826183319091797,16.129045486450195,16.003644943237305,15.962117195129395
12,89.16569811267513,2017-02-08 19:09:15,29.077719878983164,2,1,2.5024232864379883,3.742548704147339,0.020172510566001,0.0,0.075234350413612,0.0,0.0006079961312934756,0.0,0,0,0,16.84107780456543,16.06743812561035,15.942023277282715,15.900490760803223
13,99.18095512945975,2017-02-08 19:09:25,39.09297689576778,2,1,2.5027823448181152,3.7477405071258545,0.027134477833513,0.0,0.101309216667269,0.0,0.00048636802239343524,0.0,0,0,0,16.902652740478516,16.129045486450195,16.15700912475586,16.1153564453125
14,109.1960460760757,2017-02-08 19:09:35,49.10806816236478,2,1,2.5027761459350586,3.751710891723633,0.034096542132829,0.0,0.127415379460025,0.0,0.00042561255395412445,0.0,0,0,0,16.97911262512207,16.205678939819336,16.003644943237305,16.038738250732422
