Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Temperature (C)_1,Temperature (C)_2,Temperature (C)_3,Temperature (C)_4
1,10.014859464741235,2016-10-28 20:58:30,9.94727190345667,1,1,0.0,3.625227451324463,0.0,7.151747e-09,0.0,2.5926709e-08,0.0,0.0,0,0,0,16.147306442260742,16.097511291503906,15.972166061401367,16.007122039794922
2,20.023964319362427,2016-10-28 20:58:40,19.956376758077862,1,1,0.0,3.625227451324463,0.0,7.151747e-09,0.0,2.5926709e-08,0.0,0.0,0,0,0,16.22405242919922,16.0208683013916,16.048851013183594,15.930496215820312
3,30.03665844629282,2016-10-28 20:58:50,29.969071204993305,1,1,0.0,3.625227451324463,0.0,7.151747e-09,0.0,2.5926709e-08,0.0,0.0,0,0,0,16.055397033691406,16.08247184753418,16.110462188720703,15.99211597442627
4,40.05179789897759,2016-10-28 20:59:00,39.98421065767807,1,1,0.0,3.625227451324463,0.0,7.151747e-09,0.0,2.5926709e-08,0.0,0.0,0,0,0,16.055397033691406,16.08247184753418,16.1871395111084,15.99211597442627
5,50.05528605601089,2016-10-28 20:59:10,49.98769881471138,1,1,0.0,3.625227451324463,0.0,7.151747e-09,0.0,2.5926709e-08,0.0,0.0,0,0,0,15.993800163269043,16.0208683013916,16.048851013183594,16.007122039794922
6,60.07799187519502,2016-10-28 20:59:20,60.01040431391045,1,1,0.0,3.625532627105713,0.0,7.151747e-09,0.0,2.5926709e-08,6.066196147003211e-05,0.0,0,0,0,16.147306442260742,16.0208683013916,15.972166061401367,15.930496215820312
7,60.10953664150026,2016-10-28 20:59:21,0.031235340684883,2,1,1.242658019065857,3.673144578933716,5.348908284e-06,7.155174e-09,1.9519978121e-05,2.5939136e-08,0.0095223905518651,0.0,0,0,0,16.147306442260742,16.0208683013916,15.972166061401367,15.930496215820312
8,60.26564390816877,2016-10-28 20:59:21,0.187342607353384,2,1,2.4959893226623535,3.723808526992798,0.000102704454312,7.155174e-09,0.000377670624923,2.5939136e-08,0.019655179232358932,0.0,0,0,0,15.993800163269043,16.0208683013916,16.125532150268555,15.930496215820312
9,64.00942419875359,2016-10-28 20:59:25,3.931122577953158,2,1,2.4959659576416016,3.7338802814483643,0.002698499963259,7.155174e-09,0.01005863542126,2.5939136e-08,0.021669531241059303,0.0,0,0,0,16.055397033691406,16.08247184753418,16.1871395111084,15.99211597442627
10,70.71751463676833,2016-10-28 20:59:31,10.639213335952943,2,1,2.4963231086730957,3.7439520359039307,0.007349555937575,7.155174e-09,0.027449243011853,2.5939136e-08,0.0014582190196961164,0.0,0,0,0,16.13214683532715,16.15911102294922,16.1871395111084,15.99211597442627
11,80.72094615644772,2016-10-28 20:59:41,20.642644855632344,2,1,2.4963231086730957,3.753413200378418,0.014285326189884,7.155174e-09,0.053450102076087,2.5939136e-08,0.000850600132253021,0.0,0,0,0,16.147306442260742,16.0208683013916,16.048851013183594,15.930496215820312
12,90.7436426960654,2016-10-28 20:59:51,30.665341395250017,2,1,2.496307611465454,3.7598226070404053,0.02123458732259,7.155174e-09,0.079556964696551,2.5939136e-08,0.0006091370596550405,0.0,0,0,0,16.147306442260742,16.097511291503906,16.125532150268555,16.007122039794922
13,100.75874247060392,2016-10-28 21:00:01,40.680440849803496,2,1,2.495973587036133,3.7647058963775635,0.028178617856053,7.155174e-09,0.105683133540169,2.5939136e-08,0.000486077246023342,0.0,0,0,0,16.208894729614258,16.08247184753418,16.1871395111084,15.99211597442627
14,110.78785023068936,2016-10-28 21:00:11,50.70954892987399,2,1,2.495973587036133,3.7686734199523926,0.035132528895191,7.155174e-09,0.131876167500808,2.5939136e-08,0.0003645244869403541,0.0,0,0,0,16.2856388092041,16.08247184753418,16.110462188720703,15.99211597442627
15,120.79056498385611,2016-10-28 21:00:21,60.71226336305568,2,1,2.496657371520996,3.7717254161834717,0.042068068864586,7.155174e-09,0.158023786610558,2.5939136e-08,0.00030503200832754374,0.0,0,0,0,16.22405242919922,16.0208683013916,16.048851013183594,15.930496215820312
16,130.8056695581704,2016-10-28 21:00:31,70.72736793736996,2,1,2.495973587036133,3.77477765083313,0.049012294600224,7.155174e-09,0.184225291695047,2.5939136e-08,0.00030381613760255277,0.0,0,0,0,16.45426368713379,16.097511291503906,16.125532150268555,16.007122039794922
